ID,sex
614_f_10,f
614_f_21,f
614_f_23,f
614_f_24,f
614_f_25,f
614_f_302,f
614_f_304,f
614_f_4,f
614_f_51,f
614_f_54,f
614_f_56,f
614_f_57,f
614_f_6,f
614_f_60,f
614_f_71,f
614_f_72,f
614_f_76,f
614_f_82,f
614_f_86,f
614_f_90,f
614_m_10,m
614_m_12,m
614_m_13,m
614_m_14,m
614_m_155,m
614_m_156,m
614_m_16,m
614_m_17,m
614_m_19,m
614_m_2,m
614_m_22,m
614_m_221,m
614_m_222,m
614_m_223,m
614_m_24,m
614_m_25,m
614_m_26,m
614_m_310,m
614_m_311,m
614_m_341,m
614_m_342,m
614_m_344,m
614_m_350,m
614_m_46,m
614_m_49,m
614_m_5,m
614_m_66,m
614_m_8,m
614_fem_6-11-15,f
614_male_6-11-15,m
210_fem_6-11-15,f
210_male_6-11-15,m
