id;pheromone_log2
614_f_10;9.03562391
614_f_21;-0.983186689
614_f_23;-1.055951151
614_f_24;5.403197792
614_f_25;-0.586188136
614_f_302;-0.099870561
614_f_304;-1.287825899
614_f_4;8.343954401
614_f_51;-1.722538523
614_f_54;NA
614_f_56;NA
614_f_57;-3.523256935
614_f_6;7.012849781
614_f_60;NA
614_f_71;5.332379131
614_f_72;7.595371206
614_f_76;9.130570563
614_f_82;-0.967439427
614_f_86;7.899623488
614_f_90;-0.945379566
614_m_10;9.043027284
614_m_12;5.304287936
614_m_13;6.759242811
614_m_14;7.909493113
614_m_155;7.152054325
614_m_156;8.59973577
614_m_16;4.635635683
614_m_17;6.121533517
614_m_19;4.788834834
614_m_2;4.575785854
614_m_22;5.984158101
614_m_221;5.943267562
614_m_222;8.983400828
614_m_223;8.859340654
614_m_24;6.805922967
614_m_25;5.601962853
614_m_26;7.422233001
614_m_310;4.111106357
614_m_311;5.733430194
614_m_341;6.243663387
614_m_342;6.480218396
614_m_344;7.808360915
614_m_350;6.344340746
614_m_46;6.179565959
614_m_49;5.949626478
614_m_5;NA
614_m_66;7.760181802
614_m_8;4.361810886
614_fem_6-11-15;NA
614_male_6-11-15;NA
210_fem_6-11-15;NA
210_male_6-11-15;NA
