ID,Pher_log2
614_f_10,9.0356239097
614_f_21,-0.9831866894
614_f_23,-1.0559511508
614_f_24,5.4031977921
614_f_25,-0.5861881358
614_f_302,-0.099870561
614_f_304,-1.2878258987
614_f_4,8.3439544012
614_f_51,-1.7225385234
614_f_54,NA
614_f_56,NA
614_f_57,-3.5232569353
614_f_6,7.0128497805
614_f_60,NA
614_f_71,5.3323791309
614_f_72,7.5953712057
614_f_76,9.1305705628
614_f_82,-0.9674394273
614_f_86,7.8996234881
614_f_90,-0.9453795664
614_m_10,9.0430272836
614_m_12,5.3042879358
614_m_13,6.7592428113
614_m_14,7.9094931129
614_m_155,7.1520543246
614_m_156,8.5997357701
614_m_16,4.635635683
614_m_17,6.1215335173
614_m_19,4.7888348341
614_m_2,4.5757858543
614_m_22,5.9841581012
614_m_221,5.9432675619
614_m_222,8.9834008281
614_m_223,8.859340654
614_m_24,6.8059229666
614_m_25,5.6019628532
614_m_26,7.4222330007
614_m_310,4.111106357
614_m_311,5.7334301941
614_m_341,6.2436633871
614_m_342,6.4802183958
614_m_344,7.8083609154
614_m_350,6.3443407462
614_m_46,6.1795659588
614_m_49,5.9496264775
614_m_5,NA
614_m_66,7.7601818018
614_m_8,4.3618108861
614_fem_6-11-15,NA
614_male_6-11-15,NA
210_fem_6-11-15,NA
210_male_6-11-15,NA
