,ID,sex
1,614_f_10,f
2,614_f_21,f
3,614_f_23,f
4,614_f_24,f
5,614_f_25,f
6,614_f_302,f
7,614_f_304,f
8,614_f_4,f
9,614_f_51,f
10,614_f_54,f
11,614_f_56,f
12,614_f_57,f
13,614_f_6,f
14,614_f_60,f
15,614_f_71,f
16,614_f_72,f
17,614_f_76,f
18,614_f_82,f
19,614_f_86,f
20,614_f_90,f
21,614_m_10,m
22,614_m_12,m
23,614_m_13,m
24,614_m_14,m
25,614_m_155,m
26,614_m_156,m
27,614_m_16,m
28,614_m_17,m
29,614_m_19,m
30,614_m_2,m
31,614_m_22,m
32,614_m_221,m
33,614_m_222,m
34,614_m_223,m
35,614_m_24,m
36,614_m_25,m
37,614_m_26,m
38,614_m_310,m
39,614_m_311,m
40,614_m_341,m
41,614_m_342,m
42,614_m_344,m
43,614_m_350,m
44,614_m_46,m
45,614_m_49,m
46,614_m_5,m
47,614_m_66,m
48,614_m_8,m
49,614_fem_6-11-15,f
50,614_male_6-11-15,m
51,210_fem_6-11-15,f
52,210_male_6-11-15,m
